author,year,title,venue,subfield,topic,why_hot_or_current,source_note
Elizabeth Struthers Malbon,2026,Mark 2.15 in Even Broader Context: A Reflection,Journal for the Study of the New Testament 48.3,NT/Gospels,Mark 2.15; house/family,Retrospective on Malbon 1985 and renewed household/space debate,SAGE JSNT 48.3 2026
David M. May,2026,A Retrospective on Mark 2.15,Journal for the Study of the New Testament 48.3,NT/Gospels,Mark 2.15; house/family,Retrospective on his 1993 response to Malbon,SAGE JSNT 48.3 2026
Tobias Ålöw,2026,Whose House? Revisiting the Referent of αὐτοῦ in Mark 2.15,Journal for the Study of the New Testament 48.3,NT/Gospels,Mark 2.15; Greek syntax,Reopens a classic article exchange with linguistic argument,SAGE JSNT 48.3 2026
J. Andrew Doole,2026,Revisiting Jesus's House,Journal for the Study of the New Testament 48.3,NT/Gospels,Mark 2.15; Jesus's house,Reassesses house referent and narrative implications,SAGE JSNT 48.3 2026
Sally Douglas,2026,Home in Time for Dinner: Dinner Scenes in Mark's Gospel as Challenge to Gender Expectations,Journal for the Study of the New Testament 48.3,NT/Gospels,Mark; gender; meals,Moves the house debate toward gendered meal scenes,SAGE JSNT 48.3 2026
Timo Glaser,2026,"The House, the Table, and the Message: Re-reading Mark's Meals Through the Lens of Ancient Jewish Missions",Journal for the Study of the New Testament 48.3,NT/Gospels,Mark; meals; mission,Connects Markan meals with Jewish mission/social identity,SAGE JSNT 48.3 2026
Kai Akagi,2026,From Eph 3.15 Back to Eph 1.10: An Exegetical Justification of a Sociological Approach,Journal for the Study of the New Testament 48.3,Pauline/Deutero-Pauline,Ephesians; household; sociology,Links exegetical and sociological readings of Ephesians,SAGE JSNT 48.3 2026
Alfredo Delgado Gómez,2026,In Response to the Image and Inscription of Caesar: A Rhetorical Analysis of Mark 12.14-17,Journal for the Study of the New Testament 48.3,NT/Gospels,Mark; Caesar; empire,Current rhetorical/empire rereading of tribute-money pericope,SAGE JSNT 48.3 2026
Timothy Murray,2026,The Social Location of Luke and Acts: A Model of Ancient Multilingualism,Journal for the Study of the New Testament 48.3,Luke-Acts,multilingualism; social location,Current linguistic-social model for Luke-Acts,SAGE JSNT 48.3 2026
Bart B. Bruehler,2026,"Truly Human, Truly Divine: Positive Emotion as a Component of Luke's Christology",Journal for the Study of the New Testament 48.3,Luke-Acts,emotion; Christology,Part of affect/emotion turn in Gospel Christology,SAGE JSNT 48.3 2026
Aaron Wilson and James van de Weghe,2026,Re-Examining the Statistical Evidence for the Influence of Mark 13 on 2 Thessalonians 2.1-12,Journal for the Study of the New Testament 48.3,Pauline/Deutero-Pauline,Mark 13; 2 Thessalonians; intertextuality,Continues a 2024 JSNT exchange against Bauckham's 2017 thesis,SAGE JSNT 48.3 2026
Phillip Michael Sherman,2026,Houses full of owls: Oracular owls in Isaiah,Journal for the Study of the Old Testament 50.3,HB/Prophets,Isaiah; animals; divination,Animal/divination reading of prophetic imagery,SAGE JSOT 50.3 2026
Jihye Yu,2026,Cultural memory in Deuteronomy 4 and 32,Journal for the Study of the Old Testament 50.3,HB/Torah,Deuteronomy; cultural memory,Current cultural-memory reading of Deuteronomy,SAGE JSOT 50.3 2026
Zara Zhang,2026,Sintflut and Sinai: Genesis 6-8's allusion to Exodus 24-40,Journal for the Study of the Old Testament 50.3,HB/Torah,Genesis; Exodus; inner-biblical allusion,Current article on cross-Pentateuchal allusion,SAGE JSOT 50.3 2026
