relation,meaning
broadens,See dialogue_edges.csv claim_delta for local meaning.
case study,See dialogue_edges.csv claim_delta for local meaning.
challenges,Opposes or substantially disputes a claim.
challenges/reframes,Opposes or substantially disputes a claim.
comparative direction,See dialogue_edges.csv claim_delta for local meaning.
contextualizes,See dialogue_edges.csv claim_delta for local meaning.
contrasts,See dialogue_edges.csv claim_delta for local meaning.
critical balance,See dialogue_edges.csv claim_delta for local meaning.
critical parallel,See dialogue_edges.csv claim_delta for local meaning.
critiques,Critiques method or conclusion.
critiques/radicalizes,Critiques method or conclusion.
critiques/reorients,Critiques method or conclusion.
critiques/revises,Critiques method or conclusion.
critiques/synthesizes,Critiques method or conclusion.
cross-tradition dialogue,See dialogue_edges.csv claim_delta for local meaning.
develops,See dialogue_edges.csv claim_delta for local meaning.
dialogues,See dialogue_edges.csv claim_delta for local meaning.
ethical corrective,See dialogue_edges.csv claim_delta for local meaning.
explains/extends,See dialogue_edges.csv claim_delta for local meaning.
extends,Builds on the earlier work while moving in a new direction.
extends/critiques,Builds on the earlier work while moving in a new direction.
extends/decolonizes,Builds on the earlier work while moving in a new direction.
extends/revises,Builds on the earlier work while moving in a new direction.
historicizes,See dialogue_edges.csv claim_delta for local meaning.
intervenes,See dialogue_edges.csv claim_delta for local meaning.
materialist extension,See dialogue_edges.csv claim_delta for local meaning.
methodological caution,See dialogue_edges.csv claim_delta for local meaning.
methodological counterpart,See dialogue_edges.csv claim_delta for local meaning.
methodological cousin,See dialogue_edges.csv claim_delta for local meaning.
methodological parallel,See dialogue_edges.csv claim_delta for local meaning.
methodological response,See dialogue_edges.csv claim_delta for local meaning.
moderates,See dialogue_edges.csv claim_delta for local meaning.
names/develops,See dialogue_edges.csv claim_delta for local meaning.
opposes/anticipates,See dialogue_edges.csv claim_delta for local meaning.
parallel,Belongs to a neighboring debate that should be read alongside it.
parallel/debate,Belongs to a neighboring debate that should be read alongside it.
parallel/develops,Belongs to a neighboring debate that should be read alongside it.
parallel/extends,Belongs to a neighboring debate that should be read alongside it.
politicizes,See dialogue_edges.csv claim_delta for local meaning.
popularizes/extends,See dialogue_edges.csv claim_delta for local meaning.
postcolonializes,See dialogue_edges.csv claim_delta for local meaning.
qualifies,See dialogue_edges.csv claim_delta for local meaning.
radicalizes,See dialogue_edges.csv claim_delta for local meaning.
re-dates/revises,See dialogue_edges.csv claim_delta for local meaning.
reassesses,See dialogue_edges.csv claim_delta for local meaning.
reframes,Changes the question or interpretive frame.
rejects,See dialogue_edges.csv claim_delta for local meaning.
reopens,See dialogue_edges.csv claim_delta for local meaning.
reorients,See dialogue_edges.csv claim_delta for local meaning.
responds,Direct response or rebuttal.
responds/challenges,Direct response or rebuttal.
responds/qualifies,Direct response or rebuttal.
responds/reorients,Direct response or rebuttal.
responds/revives,Direct response or rebuttal.
retools,See dialogue_edges.csv claim_delta for local meaning.
retrospective,Later reflection on an earlier intervention.
retrospective/responds,Later reflection on an earlier intervention.
revises,Alters the earlier model while preserving some framework.
revisits,See dialogue_edges.csv claim_delta for local meaning.
revives/reframes,Returns to an older view in revised form.
revives/revises,Returns to an older view in revised form.
social-historical extension,See dialogue_edges.csv claim_delta for local meaning.
standardizes,See dialogue_edges.csv claim_delta for local meaning.
state-of-question,See dialogue_edges.csv claim_delta for local meaning.
supplements/reframes,See dialogue_edges.csv claim_delta for local meaning.
synthesizes,See dialogue_edges.csv claim_delta for local meaning.
updates,See dialogue_edges.csv claim_delta for local meaning.
