source_node,target_node,relation,topic,claim_delta,confidence
gunkel_1901,wellhausen_1878,supplements/reframes,Pentateuch sources,Adds form/oral-genre questions to documentary literary source division.,high
vonrad_1938,gunkel_1901,extends,Pentateuch tradition history,Extends form-critical interests into cultic/tradition-historical reconstruction.,high
noth_1948,wellhausen_1878,revises,Pentateuch sources,Shifts emphasis from full documents to tradition complexes and growth processes.,high
rendtorff_1977,wellhausen_1878,challenges,Pentateuch sources,Questions coherence of large J/E/P/D documents.,high
vanseters_1975,wellhausen_1878,re-dates/revises,Pentateuch sources,Rejects early Yahwist and patriarchal historicity assumptions.,high
blum_1984,rendtorff_1977,develops,Pentateuch composition,Builds compositional-history model after critique of source documents.,high
whybray_1987,wellhausen_1878,critiques,Pentateuch sources,Offers sweeping skeptical review of source analysis.,medium
baden_2009,rendtorff_1977,responds/revives,Pentateuch sources,Restates a stricter neo-documentary method against anti-documentary critiques.,high
carr_2011,wellhausen_1878,historicizes,Pentateuch formation,Places source/redaction debates within broader scribal transmission processes.,high
schmid_2012,blum_1984,synthesizes,Pentateuch composition,European literary-historical synthesis of formation models.,medium
nihan_2007,wellhausen_1878,revises,Priestly literature,Treats P as complex editorial/legal-theological project rather than simple source layer.,high
stackert_2014,fishbane_1985,extends,Inner-biblical legal interpretation,"Uses inner-biblical interpretation to compare Deuteronomic, priestly, and prophetic traditions.",high
milstein_2016,carr_2011,extends,Scribal revision,Uses scribal mechanics and doublets to refine formation models.,medium
zahn_2020,fishbane_1985,extends,Rewritten scripture,Uses Second Temple rewriting to illuminate biblical rewriting practices.,high
dayfani_2025,nihan_2007,intervenes,Priestly literature,Reopens P via materialist foundation and Genesis stratum.,medium
zhang_2026,fishbane_1985,extends,Inner-biblical allusion,Reads Genesis flood/Sinai correspondences as allusive literary work.,medium
yu_2026,carr_2011,extends,Cultural memory,Connects Deuteronomy formation to cultural-memory approaches.,medium
weinfeld_1970,mendenhall_1954,revises,Covenant forms,Differentiates royal grant from suzerainty treaty models.,high
fishbane_1985,weinfeld_1970,broadens,Inner-biblical exegesis,Moves from treaty comparison toward scriptural interpretation within the Bible.,medium
levinson_1997,fishbane_1985,extends,Legal hermeneutics,Makes Deuteronomy a major test case for legal revision and innovation.,high
barmash_2005,westbrook_1988,extends,Comparative law,Applies comparative legal method to biblical homicide law.,medium
hocking_kline_2025,levinson_1997,extends,Deuteronomic law,Recent legal/ecological issue in Deut 20 debates.,low
magori_2026,westbrook_1988,extends,Covenant Code,Current property-law article continues comparative legal study.,medium
chavel_2025,wellhausen_1878,reorients,Genesis 10; race,Moves classic ethnological readings into race/ethnicity critique.,medium
segal_2025,fishbane_1985,extends,Deut/Josh intertext,Recent law-narrative textual dynamics test case.,medium
cross_1973,noth_1943,revises,Deuteronomistic History,Proposes Josianic and exilic double redaction rather than one exilic work.,high
nelson_1981,cross_1973,develops,Deuteronomistic History,Full monograph development of double-redaction model.,high
roemer_2005,noth_1943,reassesses,Deuteronomistic History,Synthesizes European debates and plural redactional growth.,high
knoppers_1993,cross_1973,extends,Kings/monarchy,Analyzes monarchy theology and history within DtrH debate.,medium
gottwald_1979,mendenhall_1954,radicalizes,Israelite origins,Turns conquest/settlement toward social-revolution model.,high
dever_2003,finkelstein_2001,responds,Archaeology/history,Defends more positive archaeological reconstruction against minimalist tendencies.,high
mazar_2005,finkelstein_2001,moderates,Iron Age chronology,Offers balanced/modified chronology debate.,medium
faust_2006,gottwald_1979,revises,Ethnogenesis,Uses material culture to reconstruct identity formation rather than a single peasant revolt.,medium
rouse_2024,dever_2003,extends,Mt. Ebal/settlement,Reenters settlement archaeology/textual discussion through Ebal altar.,medium
scott_2026,roemer_2005,extends,Persian period,Brings Persian imperial-administration questions into postexilic textual reading.,medium
seitz_1991,duhm_1892,challenges/reframes,Isaiah composition,Canonical/literary Isaiah challenges fragmentation as sole interpretive lens.,high
sweeney_1996,duhm_1892,revises,Isaiah composition,Combines form-critical and literary structure work after tri-Isaiah model.,medium
ben_zvi_2026,seitz_1991,extends,Isaiah/social memory,Current Isaiah article adds social memory and authoritative-text theory.,medium
vandyke_2024,duhm_1892,reorients,Isaiah scribal materiality,Moves from compositional strata to material scribal practice.,medium
sherman_2026,sweeney_1996,extends,Isaiah animals/divination,Current oracular-animal reading of prophetic imagery.,low
