subfield,topic,author_editor,title_or_debate_locus,type,year,venue_or_series,tags,confidence,annotation
Hebrew Bible,Covenant and law,George E. Mendenhall,Covenant Forms in Israelite Tradition,article,1954,Biblical Archaeologist,covenant;law;ANE;treaty,standard,Classic article-level starting point for treaty/covenant comparison.
Hebrew Bible,Covenant and law,Moshe Weinfeld,The Covenant of Grant in the Old Testament and in the Ancient Near East,article,1970,Journal of the American Oriental Society,covenant;law;ANE;royal grant,standard,Landmark comparison of biblical covenant and ANE grant forms.
Hebrew Bible,Inner-biblical interpretation,Michael Fishbane,Revelation and Tradition: Aspects of Inner-Biblical Exegesis,article,1980,Journal of Biblical Literature,inner-biblical exegesis;tradition;scribalism,standard,Classic article-level statement of inner-biblical interpretation.
Hebrew Bible,Rhetorical criticism,James Muilenburg,Form Criticism and Beyond,article,1969,Journal of Biblical Literature,rhetorical criticism;method;form criticism,standard,Presidential address that named a major methodological shift.
Hebrew Bible,Deuteronomistic History,Frank Moore Cross,The Themes of the Book of Kings and the Structure of the Deuteronomistic History,chapter,1973,Canaanite Myth and Hebrew Epic,Deuteronomistic History;Kings;redaction,standard,Classic double-redaction model locus.
Hebrew Bible,Deuteronomistic History,Martin Noth,The Deuteronomistic History,monograph,1943/1981,Überlieferungsgeschichtliche Studien / English translation,Deuteronomistic History;historiography,standard,Foundational model; should be marked classic and debated.
Hebrew Bible,Pentateuch formation,David M. Carr,Writing on the Tablet of the Heart,monograph,2005,Oxford University Press,scribalism;memory;formation,standard,Major integration of scribal education and formation.
Hebrew Bible,Pentateuch source criticism,Joel S. Baden,The Composition of the Pentateuch,monograph,2012,Yale University Press,Documentary Hypothesis;source criticism,standard,Neo-Documentary model; add article-level responses.
Hebrew Bible,Pentateuch formation,Konrad Schmid,Genesis and the Moses Story,monograph,2010,Eisenbrauns,Genesis;Exodus;formation,standard,Important European composition-history intervention.
Hebrew Bible,Priestly literature,Christophe Nihan,From Priestly Torah to Pentateuch,monograph,2007,Mohr Siebeck,P;H;Pentateuch;law,standard,Major work on priestly formation and Torah.
Hebrew Bible,Deuteronomy and law,Bernard M. Levinson,Deuteronomy and the Hermeneutics of Legal Innovation,monograph,1997,Oxford University Press,Deuteronomy;legal revision;hermeneutics,standard,Core for legal revision and inner-biblical exegesis.
Hebrew Bible,Biblical law,Raymond Westbrook,Biblical and Cuneiform Law,chapter/article cluster,various,Multiple venues,biblical law;cuneiform law;comparative law,seed,Use as cluster marker; verify exact article/chapter records.
