trace_id,hot_topic,contemporary_anchor,contemporary_nodes,backward_genealogy,major_direction,next_harvest_queries
HT01,"Revelation: gender, violence, empire, decoloniality",2025 JSNT special-issue seed plus McClain 2026 on New Jerusalem,jsnt_rev_intro_2025; hidalgo_2025; pippin_response_2025; mcclain_2026,collins_revelation_1984 -> sfiorenza_1985_revelation -> pippin_1992 -> friesen_2001 -> koester_2014 -> hidalgo_2016 -> jsnt_rev_intro_2025 -> hidalgo_2025 -> pippin_response_2025 -> mcclain_2026,"From crisis/imperial setting to feminist critique to decolonial, visual, urban, and sexual-violence readings.","(""Revelation"" AND gender AND violence AND empire) OR (""New Jerusalem"" AND ""city founding"")"
HT02,Historical Jesus: anti-Roman resistance and insurgent Jesus,JSHJ 23.2-3 2025 special issue on Bermejo-Rubio,jshj_special_2025; middleton_2025; worthington_2025; crossley_2025,reimarus_1778 -> strauss_1835 -> schweitzer_1906 -> sanders_1985 -> crossan_1991 -> wright_1996 -> allison_2010 -> keith_ledonne_2012 -> bermejo_2023 -> jshj_special_2025,From liberal/myth/apocalyptic quests to Jewish restoration and now anti-imperial/decolonial historiography.,"(""insurgent Jesus"" OR ""anti-Roman Jesus"" OR ""seditious Jesus"") AND Bermejo"
HT03,"Mark 2.15: whose house, and why it matters","JSNT 48.3 2026 special issue on Jesus, house, family",malbon_2026; may_2026; alow_2026; doole_2026; douglas_2026; glaser_2026,wrede_1901 -> bultmann_1921 -> rhoads_dewey_michie_1982 -> malbon_1985 -> may_1993 -> malbon_2026 -> alow_2026 -> douglas_2026 -> glaser_2026,"From grammatical referent question to narrative space, gender, meals, household, and mission.","""Mark 2.15"" AND (house OR Levi OR Jesus OR αὐτοῦ)"
HT04,Priestly source and Pentateuch formation,Dayfani 2025; Zhang 2026; Yu 2026,dayfani_2025; zhang_2026; yu_2026,wellhausen_1878 -> noth_1948 -> rendtorff_1977 -> vanseters_1975 -> blum_1984 -> nihan_2007 -> carr_2011 -> baden_2009 -> dayfani_2025 -> zhang_2026,"From documentary sources to compositional, materialist, memory, and allusion-oriented models.","(""Priestly"" AND Genesis AND stratum) OR (""Genesis 6-8"" AND ""Exodus 24-40"")"
HT05,"Divine embodiment, emotion, and affect",JBL 144.3 2025 divine embodiment; Bruehler 2026 Luke emotion,bruehler_2026,schweitzer_1906 -> bultmann_theology_1951 -> allison_2010 -> portier_young_2024 -> bruehler_2026,"From doctrinal/existential christology to embodied, affective, and emotional readings.",(divine embodiment OR emotion OR affect) AND (Luke OR Christology OR Hebrew Bible)
HT06,"Sexual violence, rape culture, prophetic/Elisha ethics",Thiede 2024; Lemos 2025; JSOT 50.3 Elisha/Shunammite article,thiede_2024; lemos_2025,trible_1984 -> weems_1995 -> yee_2003 -> dube_2000 -> thiede_2024 -> lemos_2025,From feminist terror texts to womanist/postcolonial critique and current rape-culture/dehumanization ethics.,"(""rape culture"" AND ""biblical studies"") OR (Elisha AND Shunammite AND predator)"
HT07,Paul within Judaism and social history,Last 2025 state-of-question seed,last_2025,stendahl_1963 -> sanders_1977_paul -> dunn_1983 -> nanos_1996 -> eisenbaum_2009 -> fredriksen_2017 -> barclay_2015 -> last_2025,"From New Perspective critique of Lutheran Paul to Paul-within-Judaism, gift theory, and social-historical Christ groups.","(""Paul within Judaism"" AND ""social history"") OR (""early Judaism approach"" AND Paul)"
HT08,"Parousia, Mark 13, and 2 Thessalonians",Wilson and van de Weghe 2026; Gathercole/Hannah 2025 seeds,wilson_vandeweghe_2026; gathercole_2025; hannah_2025,stendahl_1963 -> martyn_1985 -> barclay_1987 -> bauckham_1998 -> gathercole_2025 -> hannah_2025 -> wilson_vandeweghe_2026,From Pauline apocalyptic and opponents to statistical/intertextual testing of Mark/2 Thess connections.,"(""2 Thessalonians 2"" AND ""Mark 13"") OR (parousia AND Thessalonians)"
HT09,"Synoptic Problem: Q, Farrer, and memory/orality",Recent Q/Farrer article seeds and current Q/class article in JBL 145.1,myles_2026; duncanson_2025,streeter_1924 -> farrer_1955 -> farmer_1964 -> sanders_1969 -> kloppenborg_1987 -> goulder_1989 -> tuckett_1996 -> goodacre_2002 -> duncanson_2025 -> myles_2026,"From source-document hypotheses to anti-Q/Farrer critiques, Q social history, and material/class readings.","(Q AND Farrer AND Synoptic Problem) OR (""Q 7:24-35"" AND class)"
HT10,"LXX, canon, and textual-development snapshots",Gallagher 2024; Catalano 2025; Garcia Alayon 2026,gallagher_2024; catalano_2025; garcia_alayon_2026,cross_dss_1958 -> talmon_1975 -> tov_1992 -> ulrich_1999 -> gallagher_2024 -> catalano_2025 -> garcia_alayon_2026,From textual pluriformity to LXX/canon and local textual-development snapshots.,"(Septuagint OR LXX) AND (canon OR ""textual development"" OR Genesis 1 OR Hosea)"
