subfield,topics_covered,remaining_gap,recommended_harvest
HB/Torah,"Pentateuch formation, law, P, Deuteronomy, Genesis, race",Article-level dialogue around European composition history and current social/critical readings,"Harvest ZAW, VT, JBL, JSOT, BZAW, FAT, Forschungen zum Alten Testament"
HB/Former Prophets,"DtrH, conquest, settlement, Mt. Ebal",Need article chains from Noth to current archaeology/text debates,"Harvest VT, JBL, BASOR, Tel Aviv, IEJ, JSOT"
HB/Prophets,"Isaiah, Jeremiah, Amos, exile, animals",Need separate chains by book and textual edition,"Harvest ZAW, VT, JBL, JSOT, CBQ, Biblica"
HB/Psalms/Wisdom,"Psalms, Qohelet, Song, poetry","Need article-level poetics, liturgy, comparative wisdom, reception","Harvest VT, JSOT, JBL, CBQ, Biblica, HUCA"
Historical Jesus,"anti-Roman Jesus, criteria, memory, class","Need direct response trees, not just monograph list","Harvest JSHJ, NTS, JSNT, JBL, CBQ, NovT"
Synoptic Problem/Gospels,"Q/Farrer, Mark 2.15, audience, empire",Need explicit what-responds-to-what edges,"Harvest NTS, JSNT, NovT, JBL, CBQ"
Pauline Studies,"New Perspective, Paul within Judaism, apocalyptic, parousia","Need edges among NPP, apocalyptic, Judaism, social history","Harvest JSNT, NTS, JBL, NovT, CBQ, Early Christianity"
Johannine/Revelation,"community, audience, gender/empire/violence",Revelation has hot current clusters needing lineage,"Harvest JSNT, JBL, NTS, CBQ"
Textual Criticism,"CBGM, original text, LXX, DSS forgeries",Need methodological genealogy plus provenance ethics,"Harvest TC, NTS, VT, DSD, JBL, CBQ"
Qumran/Second Temple,"Enoch, apocalyptic, DSS classification, media",Need non-biblical corpora article trails,"Harvest DSD, JSJ, JSP, Henoch, JBL"
Rabbinics,"Talmud redaction, midrash, law, narrative","Need rabbinics as independent dialogue, not just reception","Harvest AJS Review, JQR, JSJ, Prooftexts, Hebrew Union College Annual"
Critical/Global,"feminist, womanist, postcolonial, race, disability, ecology",Need book-by-book integration and journal article trails,"Harvest JBL, BI, Semeia, JSOT, JSNT, CBQ, Postscripts"
Qur'an/Late Antiquity,"Bible-Qur'an, Arabic Bible, late antique monotheism",Need trace from source-comparison to late-antique discourse,"Harvest JIQSA, Arabica, JAOS, Der Islam, BSOAS"
Digital Methods,"stylometry, paleography, allusion detection","Need reproducibility, datasets, source code, and critique of objectivity","Harvest Digital Scholarship in the Humanities, DHQ, TC, PNAS"
