node_id,author,year,title,type,venue_or_publisher,subfield,topic,role_in_dialogue,metadata_status,notes
wellhausen_1878,Julius Wellhausen,1878,Prolegomena zur Geschichte Israels,book,Reimer,HB/Torah,Documentary hypothesis,Classical JEDP source-critical synthesis,needs-page-verification,
gunkel_1901,Hermann Gunkel,1901,Genesis,commentary,HKAT,HB/Torah,form criticism,"Moves Genesis to genres, sagas, oral traditions",needs-page-verification,
vonrad_1938,Gerhard von Rad,1938,The Form-Critical Problem of the Hexateuch,article,Archiv für Kulturgeschichte,HB/Torah,credo/tradition history,Traces Hexateuchal tradition through liturgical credo,needs-page-verification,
noth_1948,Martin Noth,1948,A History of Pentateuchal Traditions,book,Kohlhammer,HB/Torah,tradition history,Breaks source model into smaller tradition complexes,needs-page-verification,
rendtorff_1977,Rolf Rendtorff,1977,The Problem of the Process of Transmission in the Pentateuch,book,de Gruyter,HB/Torah,source criticism,Challenges classical source documents,needs-page-verification,
vanseters_1975,John Van Seters,1975,Abraham in History and Tradition,book,Yale University Press,HB/Torah,supplementary model,Rejects early patriarchal historicity and revises dating of Yahwist,needs-page-verification,
blum_1984,Erhard Blum,1984,Die Komposition der Vätergeschichte,book,Neukirchener,HB/Torah,composition history,Compositional history as alternative to classical source division,needs-page-verification,
whybray_1987,R. N. Whybray,1987,The Making of the Pentateuch,book,JSOT Press,HB/Torah,source criticism,Skeptical review of documentary models,needs-page-verification,
baden_2009,Joel S. Baden,2009,"J, E, and the Redaction of the Pentateuch",book,Mohr Siebeck,HB/Torah,neo-documentary,Revives a refined documentary approach,needs-page-verification,
carr_2011,David M. Carr,2011,The Formation of the Hebrew Bible,book,Oxford University Press,HB/Torah,scribal formation,Compares models through scribal transmission,needs-page-verification,
schmid_2012,Konrad Schmid,2012,The Old Testament: A Literary History,book,Fortress,HB/Torah,literary history,European literary-historical synthesis,needs-page-verification,
nihan_2007,Christophe Nihan,2007,From Priestly Torah to Pentateuch,book,Mohr Siebeck,HB/Torah,Priestly formation,P as editorial/legal-theological project,needs-page-verification,
stackert_2014,Jeffrey Stackert,2014,A Prophet Like Moses,book,Oxford University Press,HB/Torah,law and prophecy,Deuteronomy and priestly/Jeremiah traditions as inner-biblical interpretation,needs-page-verification,
milstein_2016,Sara J. Milstein,2016,Tracking the Master Scribe,book,Oxford University Press,HB/Torah,scribal revision,Doublets and scribal culture,needs-page-verification,
zahn_2020,Molly M. Zahn,2020,Genres of Rewriting in Second Temple Judaism,book,Cambridge University Press,Second Temple/Torah,rewritten scripture,Second Temple evidence for textual rewriting,needs-page-verification,
dayfani_2025,Hila Dayfani,2025,The Priestly Stratum in the Book of Genesis: A Materialist Foundation,article,JSOT 50.2,HB/Torah,Priestly source,Current materialist intervention in P debate,web-verified,SAGE JSOT 50.2 2025
zhang_2026,Zara Zhang,2026,Sintflut and Sinai: Genesis 6-8's Allusion to Exodus 24-40,article,JSOT 50.3,HB/Torah,inner-biblical allusion,Current cross-Pentateuch allusion article,web-verified,SAGE JSOT 50.3 2026
yu_2026,Jihye Yu,2026,Cultural Memory in Deuteronomy 4 and 32,article,JSOT 50.3,HB/Torah,cultural memory,Current Deuteronomy memory article,web-verified,SAGE JSOT 50.3 2026
mendenhall_1954,George E. Mendenhall,1954,Covenant Forms in Israelite Tradition,article,Biblical Archaeologist,HB/Law,covenant and treaty,Classic treaty-form comparison,needs-page-verification,
weinfeld_1970,Moshe Weinfeld,1970,The Covenant of Grant in the Old Testament and in the Ancient Near East,article,JAOS,HB/Law,covenant and treaty,Differentiates grant and treaty models,needs-page-verification,
fishbane_1985,Michael Fishbane,1985,Biblical Interpretation in Ancient Israel,book,Oxford University Press,HB/Law,inner-biblical exegesis,Foundational model of inner-biblical interpretation,needs-page-verification,
levinson_1997,Bernard M. Levinson,1997,Deuteronomy and the Hermeneutics of Legal Innovation,book,Oxford University Press,HB/Law,legal revision,Deuteronomy as revision of Covenant Code,needs-page-verification,
westbrook_1988,Raymond Westbrook,1988,Studies in Biblical and Cuneiform Law,book,Gabalda,HB/Law,comparative law,Cuneiform/biblical law comparison,needs-page-verification,
barmash_2005,Pamela Barmash,2005,Homicide in the Biblical World,book,Cambridge University Press,HB/Law,criminal law,Comparative homicide law,needs-page-verification,
hocking_kline_2025,I. H. Hocking and L. Kline,2025,On the Enigma of Deuteronomy 20:19-20,article,Vetus Testamentum 75,HB/Law,Deut 20; trees; warfare,Recent legal/ecological debate on Deut 20,web-verified,Brill VT 75 2025 contents
magori_2026,Ohad Magori,2026,Theft of Livestock in the Covenant Code,article,JBL 145.1,HB/Law,Covenant Code; property,Current article on legal history,web-verified,SBL/JBL 145.1 2026
chavel_2025,S. B. Chavel,2025,Race and Ethnicity at Genesis 10 and the Idea of 'Semites',article,Vetus Testamentum 75.4-5,HB/Torah,Genesis 10; race,Current race/ethnicity article,web-verified,Brill VT 75.4-5 2025
segal_2025,M. Segal,2025,From the Jordan to Mt. Ebal and Back,article,Vetus Testamentum 75.4-5,HB/Law,Deut 27; Joshua,Recent law/narrative article,web-verified,Brill VT 75.4-5 2025
noth_1943,Martin Noth,1943,The Deuteronomistic History,book,Niemeyer,HB/Former Prophets,DtrH,Foundational unified Deuteronomistic History,needs-page-verification,
cross_1973,Frank Moore Cross,1973,The Themes of the Book of Kings and the Structure of the Deuteronomistic History,article,Canaanite Myth and Hebrew Epic,HB/Former Prophets,DtrH,Double redaction model,needs-page-verification,
nelson_1981,Richard D. Nelson,1981,The Double Redaction of the Deuteronomistic History,book,JSOT Press,HB/Former Prophets,DtrH,Develops Cross's double redaction,needs-page-verification,
roemer_2005,Thomas Römer,2005,The So-Called Deuteronomistic History,book,T&T Clark,HB/Former Prophets,DtrH,European reassessment of DtrH,needs-page-verification,
knoppers_1993,Gary N. Knoppers,1993,Two Nations Under God,book,Harvard Semitic Museum,HB/Kings,DtrH,"Monarchy, theology, and historiography",needs-page-verification,
finkelstein_2001,Israel Finkelstein and Neil Asher Silberman,2001,The Bible Unearthed,book,Free Press,Archaeology/HB,archaeology/history,Popular/minimalist-leaning archaeology synthesis,needs-page-verification,
dever_2003,William G. Dever,2003,Who Were the Early Israelites and Where Did They Come From?,book,Eerdmans,Archaeology/HB,Israelite origins,Archaeological synthesis against extreme minimalism,needs-page-verification,
mazar_2005,Amihai Mazar,2005,The Debate over the Chronology of the Iron Age in the Southern Levant,article,in The Bible and Radiocarbon Dating,Archaeology/HB,low/high chronology,Balanced chronology intervention,needs-page-verification,
gottwald_1979,Norman K. Gottwald,1979,The Tribes of Yahweh,book,Orbis,HB/History,Israelite origins,Social-scientific peasant-revolt model,needs-page-verification,
faust_2006,Avraham Faust,2006,Israel's Ethnogenesis,book,Equinox,Archaeology/HB,ethnogenesis,Archaeological model for Israelite identity,needs-page-verification,
rouse_2024,Kimberly Rouse,2024,The Altar on Mount Ebal and the Israelite Settlement,article,JBL 143.2,Archaeology/HB,Mt. Ebal; settlement,Recent archaeology/text article,web-verified,Project MUSE JBL 143.2 2024
scott_2026,Samantha Scott,2026,Provisioning the Persians: Posing Persia in Ezra 6.8-12,article,JSOT 50.3,HB/Postexilic,Persian empire; Ezra,Recent imperial-administration reading,web-verified,SAGE JSOT 50.3 2026
duhm_1892,Bernhard Duhm,1892,Das Buch Jesaja,commentary,Vandenhoeck & Ruprecht,HB/Prophets,Isaiah composition,Classic tri-Isaiah and Servant Songs,needs-page-verification,
seitz_1991,Christopher R. Seitz,1991,Zion's Final Destiny,book,Fortress,HB/Prophets,canonical Isaiah,Canonical/literary Isaiah reading,needs-page-verification,
sweeney_1996,Marvin A. Sweeney,1996,Isaiah 1-39 with an Introduction to Prophetic Literature,commentary,FOTL,HB/Prophets,Isaiah,Form-critical/literary commentary,needs-page-verification,
tov_jeremiah_1985,Emanuel Tov,1985,The Literary History of the Book of Jeremiah in Light of Its Textual History,article,Empirical Models for Biblical Criticism,Textual Criticism/HB,Jeremiah MT/LXX,Relates textual plurality to literary development,needs-page-verification,
stulman_1986,Louis Stulman,1986,The Prose Sermons of the Book of Jeremiah,book,Scholars Press,HB/Prophets,Jeremiah,Literary/redactional analysis of Jeremiah prose,needs-page-verification,
oconnor_2011,Kathleen M. O'Connor,2011,Jeremiah: Pain and Promise,book,Fortress,HB/Prophets,Jeremiah; trauma,Trauma/hope reading of Jeremiah,needs-page-verification,
ben_zvi_2026,Ehud Ben Zvi,2026,"Open the Gates! Writing, Authoritative Texts, Social Memory, Imagination, Community, and Isaiah 26:1-6",article,JBL 145.1,HB/Prophets,Isaiah; social memory,Current social-memory Isaiah article,web-verified,SBL/JBL 145.1 2026
vandyke_2024,Sara J. K. VanDyke,2024,Materiality of Scribal Practice in Isaiah 8:1-2,article,JBL 143.1,HB/Prophets,Isaiah; scribal materiality,Recent scribal materiality article,web-verified,Project MUSE JBL 143.1 2024
sherman_2026,Phillip Michael Sherman,2026,Houses Full of Owls: Oracular Owls in Isaiah,article,JSOT 50.3,HB/Prophets,Isaiah; animals,Current animal/divination reading,web-verified,SAGE JSOT 50.3 2026
rossi_2025,B. Rossi,2025,Jeremiah 10:1-16 MT and LXX,article,Vetus Testamentum 75.4-5,Textual Criticism/HB,Jeremiah MT/LXX,Recent Jeremiah textual/redaction article,web-verified,Brill VT 75.4-5 2025
nissinen_2000,Martti Nissinen,2000,Prophecy in Its Ancient Near Eastern Context,edited volume,SBL,HB/Prophets,comparative prophecy,Comparative prophecy in ANE context,needs-page-verification,
kelle_2005,Brad E. Kelle,2005,Hosea 2: Metaphor and Rhetoric in Historical Perspective,book,SBL,HB/Prophets,Hosea; metaphor,Metaphor and rhetoric in Hosea,needs-page-verification,
deans_2025,Jacob Deans,2025,Amos amongst the nōqdīm,article,JSOT 50.2,HB/Prophets,Amos; social location,Recent social-location article,web-verified,SAGE JSOT 50.2 2025
lemos_2025,T. M. Lemos,2025,"We Became Refuse and Rubbish: Violence, Filth, and Rehumanization after Exile",article,JSOT 50.2,HB/Exile,violence; filth; exile,Current trauma/dehumanization article,web-verified,SAGE JSOT 50.2 2025
lasine_2026,Stuart Lasine,2026,Cain and the Book of Jonah,article,JSOT 50.3,HB/Narrative,Jonah; Cain,Recent intertextual reading,web-verified,SAGE JSOT 50.3 2026
gunkel_psalms_1926,Hermann Gunkel,1926,The Psalms: A Form-Critical Introduction,book,original German work,HB/Psalms,psalm genres,Classic psalm genre classification,needs-page-verification,
mowinckel_1962,Sigmund Mowinckel,1962,The Psalms in Israel's Worship,book,Abingdon,HB/Psalms,cult; enthronement,Cultic/worship setting of Psalms,needs-page-verification,
kugel_1981,James L. Kugel,1981,The Idea of Biblical Poetry,book,Yale University Press,HB/Poetry,parallelism,Reorients study of biblical parallelism,needs-page-verification,
alter_1985,Robert Alter,1985,The Art of Biblical Poetry,book,Basic Books,HB/Poetry,poetics,Literary-poetic analysis,needs-page-verification,
brueggemann_1984,Walter Brueggemann,1984,The Message of the Psalms,book,Augsburg,HB/Psalms,theology,Orientation/disorientation/new orientation,needs-page-verification,
